open,high,low,close
23296.36,23372.06,23257.37,23352.86
23352.86,23394.97,23321.06,23374.96
23376.65,23443.38,23323.52,23427.37
23428.96,23437.44,23383.84,23418.8
23418.8,23466.55,23407.05,23427.22
23427.22,23438.64,23371.23,23420.08
23420.08,23436.83,23313.38,23325.47
23326.44,23389.92,23315.54,23375.62
23376.59,23414.89,23344.65,23387.4
23387.4,23417.76,23370,23392.4
23390.9,23425,23326.18,23363.85
23363.85,23383.68,23273.06,23327.47
23329.99,23346.42,23150,23172.03
23170.6,23241.22,23160.41,23223.77
23223.77,23250,23112,23137.4
23138.4,23347.96,23136.28,23322.05
23323.26,23379,23298.91,23330.73
23330.73,23361.94,23271.22,23287.76
23287.76,23356.5,23260.5,23328.96
23327.94,23377.64,23275,23311.76
23311.76,23319.84,23245,23259.25
23260.23,23262.04,22974.68,23037.35
23037.35,23153,22939.57,23127.94
23127.94,23294.4,23100.23,23227.79
23227.79,23258.39,23150.49,23204.17
23204.17,23318.15,23120,23140.09
23140.09,23156.95,23000,23084.57
23084.82,23325.22,22961.6,23244.83
23242.59,23509.68,23209.6,23322.95
23325.1,23485,23281,23437.41
23437.41,23467.58,23304.05,23368.61
23368.63,23369.6,23280.23,23326.73
23325.19,23355,23159.8,23240.74
23240.74,23287.54,23137.34,23198.94
23198.94,23211.95,22955,22970.96
22973.17,23027.46,22876.74,22963.69
22963.75,22996.82,22892.91,22906.24
22904.22,22977.85,22850,22953.36
22953.39,23040.94,22899.38,22943.37
22943.37,23000,22872.27,22953.59
22955.37,23084.42,22915.84,23016.2
23016.2,23131.61,22961.92,23118.88
23115.91,23132.37,23006.63,23053.99
23053.99,23061.98,22981.8,23019.09
23019.09,23066.33,22908.45,22989.12
22989.08,23195,22977.96,23164.79
23166.1,23393.26,23164.59,23353.76
23353.77,23417.11,23250.25,23268.01
23266.9,23447.62,23207.03,23305.42
23307.31,23313.25,23160.02,23187.65
23187.65,23245,23130.26,23157.37
23157.7,23160.85,22944,22997.14
22997.14,23080.37,22956.17,22991.97
22991.97,23003.27,22824.77,22912.95
22912.95,22922.29,22780,22828.45
22828.08,22916.66,22815.53,22853.11
22851.34,22900.93,22804.66,22808.43
22809.9,22875.77,22750,22862.28
